age_CE,varve_thick,lat,lon,ref,lake_name
1901,0.89208984375,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1900,1.60576171875,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1899,1.0705078125,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1898,1.60576171875,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1897,1.72470703125,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1896,1.7841796875,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1895,1.189453125,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1894,1.48681640625,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1893,0.9515625,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
1892,1.12998046875,63.92566,20.00977,"Arnqvist, P., Bigler, C., Renberg, I. et al. Functional clustering of varved lake sediment to reconstruct past seasonal climate. Environ Ecol Stat 23, 513–529 (2016). https://doi.org/10.1007/s10651-016-0351-1",Kassjön
