age_CE,ref,lon,lat,varve_thick,lake_name
2012,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.29,Kenai
2011,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.9700000000000002,Kenai
2010,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.3800000000000001,Kenai
2009,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.3800000000000001,Kenai
2008,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.98,Kenai
2007,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,2.7700000000000005,Kenai
2006,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.18,Kenai
2005,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.48,Kenai
2004,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,3.07,Kenai
2003,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.58,Kenai
2002,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.6800000000000002,Kenai
2001,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.3800000000000001,Kenai
2000,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.48,Kenai
1999,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.58,Kenai
1998,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,2.18,Kenai
1997,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.9700000000000002,Kenai
1996,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.88,Kenai
1995,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,2.08,Kenai
1994,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.3800000000000001,Kenai
1993,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.28,Kenai
1992,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.19,Kenai
1991,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,0.99,Kenai
1990,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.7799999999999998,Kenai
1989,"Boes, E., Van Daele, M., Moernaut, J., Schmidt, S., Jensen, B.J.L., Praet, N., Kaufman, D., Haeussler, P., Loso, M.G., De Batist, M., 2017. Varve formation during the past three centuries in three large proglacial lakes in south-central Alaska. GSA Bulletin 130, 757–774. https://doi.org/10.1130/B31792.1",-149.6011111,60.3880556,1.7799999999999998,Kenai
