lake_name,age_CE,layer,detrended_thickness
Ayr Lake,1866,varve,0.14000000000000012
Ayr Lake,1865,varve,-1.4499999999999997
Ayr Lake,1864,varve,-0.17999999999999972
Ayr Lake,1863,varve,0.21999999999999975
Ayr Lake,1862,varve,0.8399999999999999
Ayr Lake,1861,varve,0.54
Ayr Lake,1860,varve,0
Ayr Lake,1859,varve,-1
Ayr Lake,1858,varve,-0.15999999999999992
Ayr Lake,1857,varve,-0.3699999999999999
Ayr Lake,1856,varve,0.30999999999999983
Ayr Lake,1855,varve,-0.77
Ayr Lake,1854,varve,-0.9299999999999999
Ayr Lake,1853,varve,1.1700000000000002
Ayr Lake,1852,varve,-1.1199999999999999
Ayr Lake,1851,varve,1.7699999999999998
Ayr Lake,1850,varve,-0.3800000000000001
Ayr Lake,1849,varve,0.44999999999999996
Ayr Lake,1848,varve,0
Ayr Lake,1847,varve,0.06000000000000005
Ayr Lake,1846,varve,-0.9500000000000001
Ayr Lake,1845,varve,-0.3600000000000001
Ayr Lake,1844,varve,3.21
Ayr Lake,1843,varve,0
Ayr Lake,1842,varve,0.009999999999999787
Ayr Lake,1841,varve,-1.22
Ayr Lake,1840,varve,-0.74
Ayr Lake,1839,varve,0.2799999999999998
Ayr Lake,1838,varve,0.2799999999999998
Ayr Lake,1837,varve,-0.7799999999999998
Ayr Lake,1836,varve,-0.6599999999999999
Ayr Lake,1835,varve,1.0500000000000003
Ayr Lake,1834,varve,3.22
Ayr Lake,1833,varve,1.9100000000000001
Ayr Lake,1832,varve,2.49
Ayr Lake,1831,varve,0.97
Ayr Lake,1830,varve,2.65
Ayr Lake,1829,varve,0.050000000000000044
Ayr Lake,1828,varve,0.4900000000000002
Ayr Lake,1827,varve,-0.5499999999999999
Ayr Lake,1826,varve,-0.18999999999999995
Ayr Lake,1825,varve,0.10999999999999988
Ayr Lake,1824,varve,-0.1200000000000001
Ayr Lake,1823,varve,0.47
Ayr Lake,1822,varve,0.48
Ayr Lake,1821,varve,-0.5599999999999999
Ayr Lake,1820,varve,-0.32999999999999996
Ayr Lake,1819,varve,-0.2300000000000001
Ayr Lake,1818,varve,0
Ayr Lake,1817,varve,0.31000000000000005
Ayr Lake,1816,varve,-0.1499999999999999
Ayr Lake,1815,varve,0.030000000000000027
Ayr Lake,1814,varve,-0.21999999999999997
Ayr Lake,1813,varve,-0.51
Ayr Lake,1812,varve,-0.16000000000000003
Ayr Lake,1811,varve,2.7399999999999998
Ayr Lake,1810,varve,1.06
Ayr Lake,1809,varve,1.02
Ayr Lake,1808,varve,0.30999999999999994
Ayr Lake,1807,varve,-0.07000000000000006
Ayr Lake,1806,varve,-0.2
Ayr Lake,1805,varve,-0.21000000000000002
Ayr Lake,1804,varve,-0.030000000000000027
Ayr Lake,1803,varve,-0.05999999999999994
Ayr Lake,1802,varve,-0.29
Ayr Lake,1801,varve,-0.13
Ayr Lake,1800,varve,-0.010000000000000009
Ayr Lake,1799,varve,1.04
Ayr Lake,1798,varve,-0.13
Ayr Lake,1797,varve,-0.09999999999999998
Ayr Lake,1796,varve,0.67
Ayr Lake,1795,varve,0.9500000000000001
Ayr Lake,1794,varve,0.41000000000000014
Ayr Lake,1793,varve,0.34999999999999987
Ayr Lake,1792,varve,-0.44000000000000006
Ayr Lake,1791,varve,0.42999999999999994
Ayr Lake,1790,varve,-0.55
Ayr Lake,1789,varve,-0.6800000000000002
Ayr Lake,1788,varve,0.3599999999999999
Ayr Lake,1787,varve,2.4899999999999998
Ayr Lake,1786,varve,0
Ayr Lake,1785,varve,-0.41000000000000014
Ayr Lake,1784,varve,0.96
Ayr Lake,1783,varve,0.6799999999999999
Ayr Lake,1782,varve,0.7100000000000002
Ayr Lake,1781,varve,-0.33000000000000007
Ayr Lake,1780,varve,0.34999999999999987
Ayr Lake,1779,varve,-0.43000000000000005
Ayr Lake,1778,varve,-0.30000000000000004
Ayr Lake,1777,varve,-0.3500000000000001
Ayr Lake,1776,varve,-0.12
Ayr Lake,1775,varve,-0.16000000000000003
Ayr Lake,1774,varve,1.25
Ayr Lake,1773,varve,0.6099999999999999
Ayr Lake,1772,varve,0.6299999999999999
Ayr Lake,1771,varve,0.8799999999999999
Ayr Lake,1770,varve,-0.17000000000000004
Ayr Lake,1769,varve,-0.5700000000000001
Ayr Lake,1768,varve,1.46
Ayr Lake,1767,varve,0.09999999999999998
Ayr Lake,1766,varve,-0.33999999999999997
Big Round Lake,1866,varve,-0.08100000000000002
Big Round Lake,1865,varve,-0.065
Big Round Lake,1864,varve,-0.188
Big Round Lake,1863,varve,-0.11299999999999999
Big Round Lake,1862,varve,0.20499999999999996
Big Round Lake,1861,varve,-0.10100000000000003
Big Round Lake,1860,varve,0.877
Big Round Lake,1859,varve,0.5720000000000001
Big Round Lake,1858,varve,1.8130000000000002
Big Round Lake,1857,varve,-0.42100000000000004
Big Round Lake,1856,varve,-0.27399999999999997
Big Round Lake,1855,varve,-0.324
Big Round Lake,1854,varve,-0.05399999999999994
Big Round Lake,1853,varve,0.15800000000000003
Big Round Lake,1852,varve,0.238
Big Round Lake,1851,varve,-0.07600000000000007
Big Round Lake,1850,varve,-0.139
Big Round Lake,1849,varve,0.518
Big Round Lake,1848,varve,0.5800000000000001
Big Round Lake,1847,varve,0
Big Round Lake,1846,varve,0.050999999999999934
Big Round Lake,1845,varve,1.452
Big Round Lake,1844,varve,-0.15500000000000003
Big Round Lake,1843,varve,0.15200000000000002
Big Round Lake,1842,varve,-0.09999999999999998
Big Round Lake,1841,varve,0.17199999999999993
