lake_name,lat,lon,age_CE,layer,thickness,source,ref,country,continent,anomaly,value_of_anomaly,unit4anomaly
Ayr Lake,70.459,-70.086,2004,varve,2.79,VARDA,"Thomas, E.K. et al., 2012. Leaf wax δ2H and varve-thickness climate proxies from proglacial lake sediments, Baffin Island, Arctic Canada. Journal of Paleolimnology, 48(1), pp.193–207. Available at: http://dx.doi.org/10.1007/s10933-012-9584-7.",Canada,North America,Summer temperature in 1816,-0.5974391018203278,°C
Ayr Lake,70.459,-70.086,2004,varve,2.79,VARDA,"Thomas, E.K. et al., 2012. Leaf wax δ2H and varve-thickness climate proxies from proglacial lake sediments, Baffin Island, Arctic Canada. Journal of Paleolimnology, 48(1), pp.193–207. Available at: http://dx.doi.org/10.1007/s10933-012-9584-7.",Canada,North America,Summer precipitation in 1816,88.37881083424503,%
Ayr Lake,70.459,-70.086,2004,varve,2.79,VARDA,"Thomas, E.K. et al., 2012. Leaf wax δ2H and varve-thickness climate proxies from proglacial lake sediments, Baffin Island, Arctic Canada. Journal of Paleolimnology, 48(1), pp.193–207. Available at: http://dx.doi.org/10.1007/s10933-012-9584-7.",Canada,North America,Winter temperature in 1816/1817,-3.1468351760713063,°C
Ayr Lake,70.459,-70.086,2004,varve,2.79,VARDA,"Thomas, E.K. et al., 2012. Leaf wax δ2H and varve-thickness climate proxies from proglacial lake sediments, Baffin Island, Arctic Canada. Journal of Paleolimnology, 48(1), pp.193–207. Available at: http://dx.doi.org/10.1007/s10933-012-9584-7.",Canada,North America,Winter precipitation in 1816/1817,69.02138003935663,%
Big Round Lake,69.8647631,-68.85484366,2003,varve,1.35,VARDA,"Thomas, E.K. & Briner, J.P., 2008. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), pp.209–224. Available at: http://dx.doi.org/10.1007/s10933-008-9258-7.",Canada,North America,Summer temperature in 1816,-0.4536653524971257,°C
Big Round Lake,69.8647631,-68.85484366,2003,varve,1.35,VARDA,"Thomas, E.K. & Briner, J.P., 2008. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), pp.209–224. Available at: http://dx.doi.org/10.1007/s10933-008-9258-7.",Canada,North America,Summer precipitation in 1816,89.95128054743698,%
Big Round Lake,69.8647631,-68.85484366,2003,varve,1.35,VARDA,"Thomas, E.K. & Briner, J.P., 2008. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), pp.209–224. Available at: http://dx.doi.org/10.1007/s10933-008-9258-7.",Canada,North America,Winter temperature in 1816/1817,-4.1161815781798055,°C
Big Round Lake,69.8647631,-68.85484366,2003,varve,1.35,VARDA,"Thomas, E.K. & Briner, J.P., 2008. Climate of the past millennium inferred from varved proglacial lake sediments on northeast Baffin Island, Arctic Canada. Journal of Paleolimnology, 41(1), pp.209–224. Available at: http://dx.doi.org/10.1007/s10933-008-9258-7.",Canada,North America,Winter precipitation in 1816/1817,68.35113084164628,%
Blue Lake,68.08701348,-150.4651762,2005,varve,1.72,VARDA,"Bird, B.W. et al., 2009. A 2000 year varve-based climate record from the central Brooks Range, Alaska. Journal.of Paleolimnology, 41(1), pp.25–41. Available at: http://dx.doi.org/10.1007/s10933-008-9262-y.",United States,North America,Summer temperature in 1816,-0.9614492485625306,°C
Blue Lake,68.08701348,-150.4651762,2005,varve,1.72,VARDA,"Bird, B.W. et al., 2009. A 2000 year varve-based climate record from the central Brooks Range, Alaska. Journal.of Paleolimnology, 41(1), pp.25–41. Available at: http://dx.doi.org/10.1007/s10933-008-9262-y.",United States,North America,Summer precipitation in 1816,100.89087159097753,%
Blue Lake,68.08701348,-150.4651762,2005,varve,1.72,VARDA,"Bird, B.W. et al., 2009. A 2000 year varve-based climate record from the central Brooks Range, Alaska. Journal.of Paleolimnology, 41(1), pp.25–41. Available at: http://dx.doi.org/10.1007/s10933-008-9262-y.",United States,North America,Winter temperature in 1816/1817,-0.4356002052231531,°C
Blue Lake,68.08701348,-150.4651762,2005,varve,1.72,VARDA,"Bird, B.W. et al., 2009. A 2000 year varve-based climate record from the central Brooks Range, Alaska. Journal.of Paleolimnology, 41(1), pp.25–41. Available at: http://dx.doi.org/10.1007/s10933-008-9262-y.",United States,North America,Winter precipitation in 1816/1817,93.78491407459704,%
Chala,-3.31676,37.70403,2005,light layer,0.98,VARDA,"Wolff, C. et al., 2011. Reduced Interannual Rainfall Variability in East Africa During the Last Ice Age. Science, 333(6043), pp.743–747. Available at: http://dx.doi.org/10.1126/science.1203724.",Kenya,Africa,Summer temperature in 1816,-0.3717393528903586,°C
Chala,-3.31676,37.70403,2005,light layer,0.98,VARDA,"Wolff, C. et al., 2011. Reduced Interannual Rainfall Variability in East Africa During the Last Ice Age. Science, 333(6043), pp.743–747. Available at: http://dx.doi.org/10.1126/science.1203724.",Kenya,Africa,Summer precipitation in 1816,100.90813023511846,%
Chala,-3.31676,37.70403,2005,light layer,0.98,VARDA,"Wolff, C. et al., 2011. Reduced Interannual Rainfall Variability in East Africa During the Last Ice Age. Science, 333(6043), pp.743–747. Available at: http://dx.doi.org/10.1126/science.1203724.",Kenya,Africa,Winter temperature in 1816/1817,-0.20452518274282735,°C
Chala,-3.31676,37.70403,2005,light layer,0.98,VARDA,"Wolff, C. et al., 2011. Reduced Interannual Rainfall Variability in East Africa During the Last Ice Age. Science, 333(6043), pp.743–747. Available at: http://dx.doi.org/10.1126/science.1203724.",Kenya,Africa,Winter precipitation in 1816/1817,84.94550009244959,%
Chevalier,75.05,-111.5,2008,dark layer,1.55,PANGAEA,"Amann, Benjamin; Lamoureux, Scott F; Boreux, Maxime P (2018): 340-yr winter temperature reconstruction, Chevalier Bay, Melville Island, Canadian High Arctic [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.895170, Supplement to: Amann, B et al. (2017): Winter temperature conditions (1670–2010) reconstructed from varved sediments, western Canadian High Arctic. Quaternary Science Reviews, 172, 1-14, https://doi.org/10.1016/j.quascirev.2017.07.013",Canada,North America,Summer temperature in 1816,-0.3487425952067724,°C
