age_CE,ref,lon,lat,varve_thick,lake_name
2017,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.52017,Linnévatnet
2016,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,14.656,Linnévatnet
2015,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,11.303,Linnévatnet
2014,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,8.181,Linnévatnet
2013,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,22.67,Linnévatnet
2012,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.307,Linnévatnet
2011,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,4.72,Linnévatnet
2010,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,17.918,Linnévatnet
2009,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.974,Linnévatnet
2008,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,9.155,Linnévatnet
2007,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.297,Linnévatnet
2006,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,9.79,Linnévatnet
2005,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,8.784,Linnévatnet
2004,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,5.323,Linnévatnet
2003,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,1.969,Linnévatnet
2002,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,11.716,Linnévatnet
2001,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.217,Linnévatnet
2000,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,12.488,Linnévatnet
1999,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,6.53,Linnévatnet
1998,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.207,Linnévatnet
1997,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.778,Linnévatnet
1996,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.021,Linnévatnet
1995,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,5.99,Linnévatnet
1994,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,14.594,Linnévatnet
1993,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,7.789,Linnévatnet
1992,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,8.361,Linnévatnet
1991,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.514,Linnévatnet
1990,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,3.545,Linnévatnet
1989,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,2.688,Linnévatnet
1988,"Lapointe, F., Retelle, M., Bradley, R.S., Farnsworth, W.R., Støren, E., Cook, T., Rosario, J., 2023. Multi-proxy evidence of unprecedented hydroclimatic change in a high Arctic proglacial lake: Linnévatnet, Svalbard. Arctic, Antarctic, and Alpine Research 55, 2223403. https://doi.org/10.1080/15230430.2023.2223403",13.8072222,78.0447222,0.339,Linnévatnet
