lake_name,layer,treshold_prep,n_of_extremes,treshold,z
Ayr Lake,varve,n_pos_z2,18,pos,2
Ayr Lake,varve,n_pos_z3_5,12,pos,3.5
Ayr Lake,varve,n_pos_z5,5,pos,5
Ayr Lake,varve,n_neg_z1,14,neg,1
Ayr Lake,varve,n_neg_z1_75,5,neg,1.75
Ayr Lake,varve,n_neg_z2_5,0,neg,2.5
Big Round Lake,varve,n_pos_z2,17,pos,2
Big Round Lake,varve,n_pos_z3_5,8,pos,3.5
Big Round Lake,varve,n_pos_z5,5,pos,5
Big Round Lake,varve,n_neg_z1,18,neg,1
Big Round Lake,varve,n_neg_z1_75,0,neg,1.75
Big Round Lake,varve,n_neg_z2_5,0,neg,2.5
Blue Lake,varve,n_pos_z2,14,pos,2
Blue Lake,varve,n_pos_z3_5,8,pos,3.5
Blue Lake,varve,n_pos_z5,5,pos,5
Blue Lake,varve,n_neg_z1,17,neg,1
Blue Lake,varve,n_neg_z1_75,3,neg,1.75
Blue Lake,varve,n_neg_z2_5,0,neg,2.5
C2,varve,n_pos_z2,17,pos,2
C2,varve,n_pos_z3_5,11,pos,3.5
C2,varve,n_pos_z5,8,pos,5
C2,varve,n_neg_z1,19,neg,1
C2,varve,n_neg_z1_75,3,neg,1.75
C2,varve,n_neg_z2_5,0,neg,2.5
Chala,light layer,n_pos_z2,18,pos,2
Chala,light layer,n_pos_z3_5,11,pos,3.5
Chala,light layer,n_pos_z5,6,pos,5
Chala,light layer,n_neg_z1,21,neg,1
Chala,light layer,n_neg_z1_75,2,neg,1.75
Chala,light layer,n_neg_z2_5,0,neg,2.5
Chevalier,dark layer,n_pos_z2,16,pos,2
Chevalier,dark layer,n_pos_z3_5,6,pos,3.5
Chevalier,dark layer,n_pos_z5,4,pos,5
Chevalier,dark layer,n_neg_z1,17,neg,1
Chevalier,dark layer,n_neg_z1_75,4,neg,1.75
Chevalier,dark layer,n_neg_z2_5,1,neg,2.5
DV09,varve,n_pos_z2,23,pos,2
DV09,varve,n_pos_z3_5,14,pos,3.5
DV09,varve,n_pos_z5,10,pos,5
DV09,varve,n_neg_z1,14,neg,1
DV09,varve,n_neg_z1_75,2,neg,1.75
DV09,varve,n_neg_z2_5,0,neg,2.5
Donard,varve,n_pos_z2,14,pos,2
Donard,varve,n_pos_z3_5,5,pos,3.5
Donard,varve,n_pos_z5,1,pos,5
Donard,varve,n_neg_z1,24,neg,1
Donard,varve,n_neg_z1_75,6,neg,1.75
Donard,varve,n_neg_z2_5,0,neg,2.5
East Lake_1,varve,n_pos_z2,15,pos,2
East Lake_1,varve,n_pos_z3_5,13,pos,3.5
East Lake_1,varve,n_pos_z5,6,pos,5
East Lake_1,varve,n_neg_z1,20,neg,1
East Lake_1,varve,n_neg_z1_75,10,neg,1.75
East Lake_1,varve,n_neg_z2_5,1,neg,2.5
East Lake_2,varve,n_pos_z2,13,pos,2
East Lake_2,varve,n_pos_z3_5,10,pos,3.5
East Lake_2,varve,n_pos_z5,9,pos,5
East Lake_2,varve,n_neg_z1,20,neg,1
East Lake_2,varve,n_neg_z1_75,9,neg,1.75
East Lake_2,varve,n_neg_z2_5,3,neg,2.5
Elk Lake,varve,n_pos_z2,10,pos,2
Elk Lake,varve,n_pos_z3_5,2,pos,3.5
Elk Lake,varve,n_pos_z5,0,pos,5
Elk Lake,varve,n_neg_z1,21,neg,1
Elk Lake,varve,n_neg_z1_75,13,neg,1.75
Elk Lake,varve,n_neg_z2_5,4,neg,2.5
Green Lake,varve,n_pos_z2,15,pos,2
Green Lake,varve,n_pos_z3_5,6,pos,3.5
Green Lake,varve,n_pos_z5,1,pos,5
Green Lake,varve,n_neg_z1,18,neg,1
Green Lake,varve,n_neg_z1_75,6,neg,1.75
Green Lake,varve,n_neg_z2_5,1,neg,2.5
Holzmaar,varve,n_pos_z2,15,pos,2
Holzmaar,varve,n_pos_z3_5,9,pos,3.5
Holzmaar,varve,n_pos_z5,5,pos,5
Holzmaar,varve,n_neg_z1,17,neg,1
Holzmaar,varve,n_neg_z1_75,10,neg,1.75
Holzmaar,varve,n_neg_z2_5,2,neg,2.5
Hvítárvatn_1,varve,n_pos_z2,15,pos,2
Hvítárvatn_1,varve,n_pos_z3_5,4,pos,3.5
Hvítárvatn_1,varve,n_pos_z5,2,pos,5
Hvítárvatn_1,varve,n_neg_z1,22,neg,1
Hvítárvatn_1,varve,n_neg_z1_75,6,neg,1.75
Hvítárvatn_1,varve,n_neg_z2_5,0,neg,2.5
Hvítárvatn_2,varve,n_pos_z2,18,pos,2
Hvítárvatn_2,varve,n_pos_z3_5,4,pos,3.5
Hvítárvatn_2,varve,n_pos_z5,1,pos,5
Hvítárvatn_2,varve,n_neg_z1,18,neg,1
Hvítárvatn_2,varve,n_neg_z1_75,2,neg,1.75
Hvítárvatn_2,varve,n_neg_z2_5,0,neg,2.5
Iceberg Lake_1,varve,n_pos_z2,8,pos,2
Iceberg Lake_1,varve,n_pos_z3_5,2,pos,3.5
Iceberg Lake_1,varve,n_pos_z5,2,pos,5
Iceberg Lake_1,varve,n_neg_z1,20,neg,1
Iceberg Lake_1,varve,n_neg_z1_75,11,neg,1.75
Iceberg Lake_1,varve,n_neg_z2_5,5,neg,2.5
Iceberg Lake_2,varve,n_pos_z2,18,pos,2
Iceberg Lake_2,varve,n_pos_z3_5,10,pos,3.5
Iceberg Lake_2,varve,n_pos_z5,8,pos,5
Iceberg Lake_2,varve,n_neg_z1,16,neg,1
Iceberg Lake_2,varve,n_neg_z1_75,5,neg,1.75
Iceberg Lake_2,varve,n_neg_z2_5,0,neg,2.5
