age_BP,varve_thick,peaks_pos,peaks_neg,lake_name,age_CE
84,-0.21574626911944828,0,0,Ayr Lake,1866
85,-0.24110042991442576,0,0,Ayr Lake,1865
86,0.1181836593840469,0,0,Ayr Lake,1864
87,0.34311148146626436,0,0,Ayr Lake,1863
88,0.44457157769536537,0,0,Ayr Lake,1862
89,0.20459898805034027,0,0,Ayr Lake,1861
90,-0.1508947662398425,0,0,Ayr Lake,1860
91,-0.18481206999938948,0,0,Ayr Lake,1859
92,-0.11056993647204538,0,0,Ayr Lake,1858
93,-0.07614265276439214,0,0,Ayr Lake,1857
94,-0.1536840969268361,0,0,Ayr Lake,1856
95,-0.28921819381103847,0,1,Ayr Lake,1855
96,-0.09262892084701257,0,0,Ayr Lake,1854
97,-0.14426025812023946,0,0,Ayr Lake,1853
98,-0.10073613834854733,0,0,Ayr Lake,1852
99,0.1531996638380208,0,0,Ayr Lake,1851
100,-0.03101621258421977,0,0,Ayr Lake,1850
101,0.05083367632328467,0,0,Ayr Lake,1849
102,-0.020612001554406456,0,0,Ayr Lake,1848
103,-0.1866532329408378,0,0,Ayr Lake,1847
104,-0.20764974804845343,0,0,Ayr Lake,1846
105,0.42593376251310033,0,0,Ayr Lake,1845
106,0.6471892748827673,0,0,Ayr Lake,1844
107,0.1338871284729229,0,0,Ayr Lake,1843
108,-0.04809274298344082,0,0,Ayr Lake,1842
109,-0.12100975625277582,0,0,Ayr Lake,1841
110,0.09506832548704292,0,0,Ayr Lake,1840
111,0.3119397834223184,0,0,Ayr Lake,1839
112,0.0032767617293773532,0,0,Ayr Lake,1838
113,-0.12319116296633786,0,0,Ayr Lake,1837
114,0.10932523530193211,0,0,Ayr Lake,1836
115,1.259554883281434,0,0,Ayr Lake,1835
116,1.7056287279862332,0,0,Ayr Lake,1834
117,1.3572138501118034,0,0,Ayr Lake,1833
118,0.8688676834827858,0,0,Ayr Lake,1832
119,0.9040116401421846,0,0,Ayr Lake,1831
120,0.5104375374888231,1,0,Ayr Lake,1830
121,0.14964049338511096,0,0,Ayr Lake,1829
122,-0.02367794085768657,0,0,Ayr Lake,1828
123,-0.10581603243541753,0,0,Ayr Lake,1827
124,-0.03835868818656521,0,0,Ayr Lake,1826
125,-0.02214660338546215,0,0,Ayr Lake,1825
126,0.012422429052363376,0,0,Ayr Lake,1824
127,0.097752145379607,0,0,Ayr Lake,1823
128,-0.06724267955145723,0,0,Ayr Lake,1822
129,-0.11164500368860594,0,0,Ayr Lake,1821
130,-0.08391289961796063,0,0,Ayr Lake,1820
131,-0.06615982487805573,0,0,Ayr Lake,1819
132,-0.01935582245553541,0,0,Ayr Lake,1818
133,-0.03774992237230297,0,0,Ayr Lake,1817
134,-0.058082630482661324,0,0,Ayr Lake,1816
135,-0.06839730158962787,0,0,Ayr Lake,1815
136,-0.1070155121521855,0,0,Ayr Lake,1814
137,-0.10333828342312662,0,0,Ayr Lake,1813
138,0.09930253483894382,0,0,Ayr Lake,1812
139,0.4665554603293249,0,0,Ayr Lake,1811
140,0.17387623027886073,0,0,Ayr Lake,1810
141,0.0490692809086809,0,0,Ayr Lake,1809
142,-0.05393503322193161,0,0,Ayr Lake,1808
143,-0.08118017533022012,0,0,Ayr Lake,1807
144,-0.08538506017410245,0,0,Ayr Lake,1806
145,-0.0760253125864272,0,0,Ayr Lake,1805
146,-0.06689675611732904,0,0,Ayr Lake,1804
147,-0.0816154706700241,0,0,Ayr Lake,1803
148,-0.08255116410563346,0,0,Ayr Lake,1802
149,-0.06758836616837365,0,0,Ayr Lake,1801
150,0.004901874717750304,0,0,Ayr Lake,1800
