lake_name,layer,age_CE,tresh_pos_z5,tresh_neg_z2_5,thickness,mm,mad,scaled_magnitude,scaled_magnitude_sign,record_label
Ayr Lake,varve,1844,4.94,0.2899999999999998,5.05,1.84,0.6200000000000001,5.177419354838709,positive,Ayr Lake - varve
Ayr Lake,varve,1811,1.7599999999999998,0.1100000000000001,3.4,0.66,0.21999999999999997,12.454545454545455,positive,Ayr Lake - varve
Ayr Lake,varve,1799,1.62,0.12,1.66,0.62,0.2,5.2,positive,Ayr Lake - varve
Ayr Lake,varve,1787,3.2100000000000004,-0.015000000000000124,3.55,1.06,0.43000000000000005,5.790697674418603,positive,Ayr Lake - varve
Ayr Lake,varve,1768,2.2099999999999995,0.26000000000000034,2.37,0.91,0.2599999999999999,5.615384615384618,positive,Ayr Lake - varve
Big Round Lake,varve,1858,1.8159999999999996,-0.036499999999999866,2.394,0.581,0.24699999999999994,7.340080971659922,positive,Big Round Lake - varve
Big Round Lake,varve,1845,1.8420000000000003,0.06449999999999989,2.109,0.657,0.23700000000000004,6.1265822784810116,positive,Big Round Lake - varve
Big Round Lake,varve,1779,0.8039999999999998,0.04650000000000004,1.197,0.299,0.10099999999999998,8.891089108910894,positive,Big Round Lake - varve
Big Round Lake,varve,1776,0.7089999999999999,0.07900000000000001,0.932,0.289,0.08399999999999999,7.654761904761906,positive,Big Round Lake - varve
Big Round Lake,varve,1769,0.8369999999999997,0.0045000000000000595,0.864,0.282,0.11099999999999996,5.243243243243246,positive,Big Round Lake - varve
Blue Lake,varve,1826,1.3800000000000001,0.25499999999999995,1.94,0.63,0.15000000000000002,8.733333333333333,positive,Blue Lake - varve
Blue Lake,varve,1825,1.3800000000000001,0.25499999999999995,1.5,0.63,0.15000000000000002,5.799999999999999,positive,Blue Lake - varve
Blue Lake,varve,1796,1.2099999999999995,0.23500000000000032,2.07,0.56,0.1299999999999999,11.615384615384624,positive,Blue Lake - varve
Blue Lake,varve,1790,1.1099999999999999,0.2850000000000001,2.9,0.56,0.10999999999999999,21.272727272727273,positive,Blue Lake - varve
Blue Lake,varve,1772,0.8600000000000001,0.26,0.95,0.46,0.08000000000000002,6.124999999999998,positive,Blue Lake - varve
Chala,light layer,1849,2.6799999999999997,-0.16999999999999993,3.1,0.78,0.38,6.105263157894737,positive,Chala - light layer
Chala,light layer,1822,2.8,-0.19999999999999996,5.46,0.8,0.4,11.65,positive,Chala - light layer
Chala,light layer,1819,3.0799999999999996,-0.06999999999999984,3.56,0.98,0.41999999999999993,6.142857142857144,positive,Chala - light layer
