age_CE,varve_thick,light_lamin_thick,dark_lamin_thick,ref,lat,lon,lake_name
2010,4.4,1.8,2.6,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2009,4.4,1.8,2.6000000000000005,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2008,3.6,1.4,2.2,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2007,3.6,1.4,2.2,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2006,2.8,1.2,1.5999999999999999,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2005,4,1.6,2.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2004,2.4,1,1.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2003,6.4,2.6,3.8000000000000003,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2002,2.4,1,1.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2001,1.2,0.48,0.72,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
2000,4.4,1.8,2.6000000000000005,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1999,4,1.6,2.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1998,2.8,1.12,1.6799999999999997,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1997,2.8,1.12,1.6799999999999997,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1996,4,1.6,2.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1995,2.4,1,1.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1994,3.6,1.44,2.16,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1993,4.4,1.8,2.6000000000000005,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1992,6.8,2.8,4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1991,2.8,1.2,1.5999999999999999,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1990,3.2,1.2,2,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1989,2.4,1,1.4,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
1988,5.2,2,3.2,"Słowiński, M., Brauer, A., Guzowski, P., Związek, T., Obremska, M., Theuerkauf, M., Dietze, E., Schwab, M., Tjallingii, R., Czaja, R., Ott, F., Błaszkiewicz, M., 2021. The role of Medieval road operation on cultural landscape transformation. Sci Rep 11, 20876. Available at: https://doi.org/10.1038/s41598-021-00090-3
",53.87,18.235,Czechowskie
