No.,IDs on the maps,Lake name,Record label,Latitude (°),Longitude (°),Country,Data source,Thickness of,Reference
1,1,Ayr Lake,Ayr Lake - varve,70.459,-70.086,Canada,VARDA,varve,Thomas et al. (2012)
2,2,Big Round Lake,Big Round Lake - varve,69.86476,-68.85484,Canada,VARDA,varve,Thomas and Briner (2008)
3,3,Blue Lake,Blue Lake - varve,68.08701,-150.46518,United States,VARDA,varve,Bird et al. (2009)
4,4,C2,C2 - varve,82.82759,-77.98599,Canada,VARDA,varve,Lamoureux and Bradley (1996)
5,5,Chala,Chala - light layer,-3.31676,37.70403,Kenya,VARDA,light layer,Wolff et al. (2011)
6,6,Chevalier,Chevalier - dark layer,75.05,-111.5,Canada,PANGAEA,dark layer,Amann et al. (2017)
7,7,DV09,DV09 - varve,75.57439,-89.30943,Canada,VARDA,varve,Courtney Mustaphi and Gajewski (2013)
8,8,Donard,Donard - varve,66.66253,-61.78749,Canada,VARDA,varve,Moore et al. (2001)
9,9,East Lake,East Lake_1 - varve,74.88821,-109.53417,Canada,VARDA,varve,Cuven et al. (2011)
10,9,East Lake,East Lake_2 - varve,74.88821,-109.53417,Canada,PANGAEA,varve,Lapointe et al. (2017)
11,10,Elk Lake,Elk Lake - varve,47.18905,-95.2179,United States,VARDA,varve,Dean and Megard (1993)
12,11,Green Lake,Green Lake - varve,50.2,-122.9,Canada,WDS-Paleo,varve,Schiefer et al. (2006)
13,12,Holzmaar,Holzmaar - varve,50.11889,6.87917,Germany,Author,varve,Zolitschka (1996)
14,13,Hvítárvatn,Hvítárvatn_1 - varve,64.61014,-19.84015,Iceland,VARDA,varve,Larsen et al. (2011)
15,13,Hvítárvatn,Hvítárvatn_2 - varve,64.61014,-19.84015,Iceland,VARDA,varve,Larsen et al. (2011)
16,14,Iceberg Lake,Iceberg Lake_1 - varve,60.78804,-142.95885,United States,VARDA,varve,Loso (2009)
17,14,Iceberg Lake,Iceberg Lake_2 - varve,60.78804,-142.95885,United States,VARDA,varve,Diedrich and Loso (2012)
18,15,Kuninkaisenlampi,Kuninkaisenlampi - light layer,63.98333,28.02333,Finland,Author,light layer,Saarni Muschitiello Weege Brauer Saarinen (2016)
19,15,Kuninkaisenlampi,Kuninkaisenlampi - dark layer,63.98333,28.02333,Finland,Author,dark layer,Saarni Muschitiello Weege Brauer Saarinen (2016)
20,16,Kusai,Kusai - light layer,35.69167,92.83333,China,Author,light layer,Zhang et al. (2022)
21,16,Kusai,Kusai - dark layer,35.69167,92.83333,China,Author,dark layer,Zhang et al. (2022)
22,17,Lagoon Etoliko,Lagoon Etoliko - light layer,38.47323,21.32478,Greece,VARDA,light layer,Koutsodendris et al. (2017)
23,17,Lagoon Etoliko,Lagoon Etoliko - dark layer,38.47323,21.32478,Greece,VARDA,dark layer,Koutsodendris et al. (2017)
24,18,Lehmilampi,Lehmilampi - varve,63.62829,29.10224,Finland,VARDA,varve,Haltia-hovi et al. (2007)
25,19,Lower Murray Lake,Lower Murray Lake - varve,81.33275,-69.55102,Canada,VARDA,varve,Cook et al. (2009)
26,20,Montcortès,Montcortès - light layer,42.33158,0.99491,Spain,PANGAEA,light layer,Vegas-Vilarrúbia et al. (2022)
27,21,Nar Gölü,Nar Gölü - light layer,38.34037,34.45611,Turkey,Author,light layer,Woodbridge (2009)
28,21,Nar Gölü,Nar Gölü - dark layer,38.34037,34.45611,Turkey,Author,dark layer,Woodbridge (2009)
29,22,Nautajärvi,Nautajärvi - light layer,61.8,24.6833,Finland,WDS-Paleo,light layer,Ojala and Alenius (2005)
30,22,Nautajärvi,Nautajärvi - dark layer,61.8,24.6833,Finland,WDS-Paleo,dark layer,Ojala and Alenius (2005)
31,23,Oeschinen,Oeschinen - varve,46.49841,7.72744,Switzerland,VARDA,varve,Amann et al. (2015)
32,24,Ogac,Ogac - light layer,62.84316,-67.34011,Canada,VARDA,light layer,Hughen (2009)
33,24,Ogac,Ogac - dark layer,62.84316,-67.34011,Canada,VARDA,dark layer,Hughen (2009)
34,25,Plomo,Plomo - varve,-47.00475,-72.91217,Chile,VARDA,varve,Elbert et al. (2015)
35,26,Sawtooth,Sawtooth - varve,79.34939,-83.92353,Canada,VARDA,varve,Francus et al. (2002)
36,27,Upper Sopper,Upper Sopper - dark layer,62.91667,-69.53,Canada,WDS-Paleo,dark layer,Hughen et al. (2000)
37,28,Żabińskie,Żabińskie - light layer,54.1318,21.9836,Poland,Author,light layer,Żarczynski et al. (2019)
38,28,Żabińskie,Żabińskie - dark layer,54.1318,21.9836,Poland,Author,dark layer,Żarczynski et al. (2019)
